School,Department,Course
College of Arts and Sciences,American Ethnic Studies,Afro-American Studies (AFRAM)
College of Arts and Sciences,American Ethnic Studies,American Ethnic Studies (AES)
College of Arts and Sciences,American Ethnic Studies,Asian-American Studies (AAS)
College of Arts and Sciences,American Ethnic Studies,Chicano Studies (CHSTU)
College of Arts and Sciences,American Ethnic Studies,Swahili (SWA)
College of Arts and Sciences,American Ethnic Studies,Tagalog (TAGLG)
College of Arts and Sciences,American Ethnic Studies,American Indian Studies (AIS)
College of Arts and Sciences,Anthropology,Anthropology (ANTH)
College of Arts and Sciences,Anthropology,Archaeology (ARCHY)
College of Arts and Sciences,,Biological Anthropology (BIO A)
College of Arts and Sciences,Applied Mathematics,Applied Mathematics (AMATH)
College of Arts and Sciences,Applied Mathematics,Computational Finance and Risk Management (CFRM)
College of Arts and Sciences,,Honors (HONORS)
College of Arts and Sciences,,Arctic Studies (ARCTIC)
College of Arts and Sciences,"School of Art, Art History, and Design",Art (ART)
College of Arts and Sciences,"School of Art, Art History, and Design",Art History (ART H)
College of Arts and Sciences,"School of Art, Art History, and Design",Design (DESIGN)
College of Arts and Sciences,Asian Languages and Literature,Asian Languages and Literature (ASIAN)
College of Arts and Sciences,Asian Languages and Literature,Bengali (BENG)
College of Arts and Sciences,Asian Languages and Literature,Chinese (CHIN)
College of Arts and Sciences,Asian Languages and Literature,Hindi (HINDI)
College of Arts and Sciences,Asian Languages and Literature,Indian (INDN)
College of Arts and Sciences,Asian Languages and Literature,Indonesian (INDO)
College of Arts and Sciences,Asian Languages and Literature,Japanese (JAPAN)
College of Arts and Sciences,Asian Languages and Literature,Korean (KOREAN)
College of Arts and Sciences,Asian Languages and Literature,Sanskrit (SNKRT)
College of Arts and Sciences,Asian Languages and Literature,Thai (THAI)
College of Arts and Sciences,Asian Languages and Literature,Urdu (URDU)
College of Arts and Sciences,Asian Languages and Literature,Vietnamese (VIET)
College of Arts and Sciences,,Astrobiology and Early Evolution (ASTBIO)
College of Arts and Sciences,,Astronomy (ASTR)
College of Arts and Sciences,,Biology (BIOL) 
College of Arts and Sciences,,Botany -- See Biology (BIOL)
College of Arts and Sciences,,Center for Statistics and Social Sciences (CS SS)
College of Arts and Sciences,,Center for Studies in Demography and Ecology (CSDE)
College of Arts and Sciences,,Center for the Humanities (HUM)
College of Arts and Sciences,,Chemistry (CHEM)
College of Arts and Sciences,Classics,Classical Archaeology (CL AR)
College of Arts and Sciences,Classics,Classical Linguistics (CL LI)
College of Arts and Sciences,Classics,Classics (CLAS)
College of Arts and Sciences,Classics,Greek (GREEK)
College of Arts and Sciences,Classics,Latin (LATIN)
College of Arts and Sciences,Communication,Communication (COM) 
College of Arts and Sciences,Communication,Communication Leadership (COMMLD) 
College of Arts and Sciences,,Comparative History of Ideas (CHID)
College of Arts and Sciences,"Comparative Literature, Cinema, and Media",Cinema and Media Studies (CMS)
College of Arts and Sciences,"Comparative Literature, Cinema, and Media",Comparative Literature (C LIT)
College of Arts and Sciences,,Dance (DANCE)
College of Arts and Sciences,,Digital Arts and Experimental Media (DXARTS)
College of Arts and Sciences,,Disability Studies (DIS ST)
College of Arts and Sciences,,Drama (DRAMA)
College of Arts and Sciences,,Economics (ECON)
College of Arts and Sciences,,English (ENGL)
College of Arts and Sciences,,French and Italian Studies
College of Arts and Sciences,,French (FRENCH)
College of Arts and Sciences,,Italian (ITAL)
College of Arts and Sciences,,"Gender, Women, and Sexuality Studies (GWSS)"
College of Arts and Sciences,General Studies,General Studies (GEN ST)
College of Arts and Sciences,General Studies,Individualized Studies (INDIV)
College of Arts and Sciences,,Geography (GEOG)
College of Arts and Sciences,,Germanics (GERMAN)
College of Arts and Sciences,History,Ancient and Medieval History (HSTAM)
College of Arts and Sciences,History,Comparative and Transregional History (HSTCMP)
College of Arts and Sciences,History,History of Africa and the Middle East (HSTAFM)
College of Arts and Sciences,History,History of Asia (HSTAS)
College of Arts and Sciences,History,History of Latin America and the Caribbean (HSTLAC)
College of Arts and Sciences,History,History of Modern Europe (HSTEU)
College of Arts and Sciences,History,History of North America (United States and Canada) (HSTAA)
College of Arts and Sciences,History,History Seminars and Independent Studies (HSTRY)
College of Arts and Sciences,,History and Philosophy of Science (HPS)
College of Arts and Sciences,,Integrated Science (INTSCI)
College of Arts and Sciences,,Integrated Social Sciences (ISS)
College of Arts and Sciences,Jackson School of International Studies,Comparative Religion (RELIG)
College of Arts and Sciences,Jackson School of International Studies,International Studies (Gateway/Core) (JSIS)
College of Arts and Sciences,Jackson School of International Studies,International Studies (Area Studies) (JSIS A)
College of Arts and Sciences,Jackson School of International Studies,International Studies (Global/Thematic) (JSIS B)
College of Arts and Sciences,Jackson School of International Studies,International Studies (Comparative Religion/Jewish Studies) (JSIS C)
College of Arts and Sciences,Jackson School of International Studies,International Studies (JSIS D)
College of Arts and Sciences,Jackson School of International Studies,International Studies (Language) (JSIS E)
College of Arts and Sciences,Jackson School of International Studies,Jewish Studies (JEW ST)
College of Arts and Sciences,,"Law, Societies, and Justice (LSJ)"
College of Arts and Sciences,Linguistics,American Sign Language (ASL)
College of Arts and Sciences,Linguistics,Linguistics (LING)
College of Arts and Sciences,,Mathematics (MATH) 
College of Arts and Sciences,,Microbiology (MICROM) 
College of Arts and Sciences,Music,Music (MUSIC) 
College of Arts and Sciences,Music,Music - Applied (MUSAP)
College of Arts and Sciences,Music,Music Education (MUSED)
College of Arts and Sciences,Music,Music Ensemble (MUSEN)
College of Arts and Sciences,Music,Music History (MUHST)
College of Arts and Sciences,Music,Music Performance (MUSICP)
College of Arts and Sciences,Near Eastern Languages and Civilization,Arabic (ARAB)
College of Arts and Sciences,Near Eastern Languages and Civilization,Aramaic (ARAMIC)
College of Arts and Sciences,Near Eastern Languages and Civilization,Coptic (COPTIC)
College of Arts and Sciences,Near Eastern Languages and Civilization,Egyptian (EGYPT)
College of Arts and Sciences,Near Eastern Languages and Civilization,Ge'ez (GEEZ)
College of Arts and Sciences,Near Eastern Languages and Civilization,Biblical Hebrew (BIBHEB)
