Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),A A 210 A,ENGR STATICS,"GOLINGO, RAYMOND",268,28,42,60,44,43,19,10,9,2,1,,1,9,3
2015-16,20154 (Autumn 2015),A A 310 A,ORB SPACE FLIGHT,"HERMANSON, JAMES C.",73,10,17,15,10,11,8,1,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A A 311 A,ATM FLIGHT MECH,"KNOWLEN, CARL",72,9,24,21,14,3,,,,,,,,1,3.4
2015-16,20154 (Autumn 2015),A A 320 A,AEROSPACE INSTR,"BRUCKNER, ADAM P",73,13,21,9,13,11,3,2,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A A 402 A,FLUID MECHANICS,"FERRANTE, ANTONINO",34,4,16,4,8,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),A A 405 A,AEROSPACE PLASMAS,"SHUMLAK, URI",30,3,5,3,11,5,3,,,,,,,,3.1
2015-16,20154 (Autumn 2015),A A 430 A,FINTE ELEMENT ANALYS,"DELEO, FRANCESCO",39,3,7,14,12,1,2,,,,,,,,3.2
2015-16,20154 (Autumn 2015),A A 447 A,CONT IN AEROSP,"HILL, KRISTI MORGANSEN",62,8,29,13,2,6,2,1,1,,,,,,3.3
2015-16,20154 (Autumn 2015),A A 461 A,ADV AIRBREATH PROPL,"HERMANSON, JAMES C.",30,3,7,11,3,3,2,1,,,,,,,3.3
2015-16,20154 (Autumn 2015),A A 470 A,SYSTEMS ENGINEERING,"MURPHY, SUSAN E.",15,2,12,1,,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),A A 504 A,COMP FLUID MECH,"BREIDENTHAL, ROBERT E",17,6,7,2,2,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),A A 530 A,MECHANICS OF SOLIDS,"YANG, JINKYU",20,6,11,1,1,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),A E 501 B,ANALYTICAL METHODS,"LUM, CHRISTOPHER, W",34,1,8,15,9,,,,,,,,,1,3.3
2015-16,20154 (Autumn 2015),A E 529 B,AE TOPICS: FLUIDS,"STANLEY, STEVEN B.",17,2,6,1,4,2,1,,,,,,,1,3.2
2015-16,20154 (Autumn 2015),A E 549 B,AE TOPICS: STRUC,"MUIR, ERIC R",14,2,8,2,1,,,1,,,,,,,3.5
2015-16,20154 (Autumn 2015),A E 559 B,AE TOPICS: COMPSTS,"LIN, KUEN Y",25,4,15,4,2,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),A S 101 A,FOUNDATION USAF I,"DALY, SEAN",20,12,5,1,1,,,,,,,,,1,3.8
2015-16,20154 (Autumn 2015),A S 101 B,FOUNDATION USAF I,"DALY, SEAN",20,12,3,1,3,,,,,,,,,1,3.7
2015-16,20154 (Autumn 2015),A S 101 C,FOUNDATION USAF I,"DALY, SEAN",13,7,4,1,1,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),AAS 330 A,ASIAN AMER THEATER,"SUMIDA, STEPHEN H.",43,8,26,8,,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),AAS 360 A,CRIT FIL-AM HISTS,"BONUS, ENRIQUE C.",43,12,18,6,3,1,,,,,1,,2,,3.4
2015-16,20154 (Autumn 2015),AAS 370 A,JPN AM HIST CLTR,"KASHIMA, TETSUDEN",42,16,9,4,8,4,1,,,,,,,,3.5
2015-16,20154 (Autumn 2015),AAS 385 A,AAS RACE LAW JUSTCE,"NOMURA, GAIL M.",44,,18,17,7,1,,,,,,,1,,3.2
2015-16,20154 (Autumn 2015),AAS 395 A,POST VIET WAR AAS AM,"SO, CONNIE C.",27,5,12,1,2,5,,1,,,,,,1,3.4
2015-16,20154 (Autumn 2015),ACADEM 197 A,RESEARCH SEMINARS,"MOODY, WILLIAM J",39,12,16,3,4,3,,1,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 215 A,ACCTG & FIN REPRTNG,"DEMERJIAN, PETER R",154,31,22,16,10,20,9,17,18,1,,,1,9,2.9
2015-16,20154 (Autumn 2015),ACCTG 215 B,ACCTG & FIN REPRTNG,"DEMERJIAN, PETER R",157,36,24,11,15,17,14,16,12,,1,,2,9,2.9
2015-16,20154 (Autumn 2015),ACCTG 215 C,ACCTG & FIN REPRTNG,"WEBER, ELIZABETH",157,22,37,22,38,24,7,,1,,,,1,5,3.2
2015-16,20154 (Autumn 2015),ACCTG 225 A,MANAGERIAL ACCTG,"PAPERMAN, JOSEPH",156,10,20,29,32,28,15,8,4,2,1,,,7,2.9
2015-16,20154 (Autumn 2015),ACCTG 225 C,MANAGERIAL ACCTG,"PAPERMAN, JOSEPH",155,10,30,24,33,30,5,5,4,4,3,1,2,4,2.9
2015-16,20154 (Autumn 2015),ACCTG 301 A,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",39,4,11,,11,6,2,2,,,,,,3,3.1
2015-16,20154 (Autumn 2015),ACCTG 301 B,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",53,1,26,,20,6,,,,,,,,,3.3
2015-16,20154 (Autumn 2015),ACCTG 301 C,INTERMED ACCTG I,"BLACKBURNE, TERRENCE P",26,2,15,1,2,6,,,,,,,,,3.3
2015-16,20154 (Autumn 2015),ACCTG 302 A,INTERMED ACCTG II,"SHORES, D.",28,3,9,8,2,1,4,1,,,,,,,3.2
2015-16,20154 (Autumn 2015),ACCTG 303 A,INTERMED ACCTG III,"REICH, JANE M",45,3,12,6,6,7,6,2,1,,,,,2,3
2015-16,20154 (Autumn 2015),ACCTG 311 A,COST ACCOUNTING,"BAESLER, WENDY G.",55,8,14,17,14,1,,,,,,,,1,3.4
2015-16,20154 (Autumn 2015),ACCTG 320 A,ACCTG INFO SYSTEMS,"PHILLIPS, THOMAS",43,2,12,10,13,4,,,,,,,,2,3.2
2015-16,20154 (Autumn 2015),ACCTG 321 A,TAX EFF OF BUS DECS,"WEBER, ELIZABETH",60,7,14,15,14,4,4,,,,,,,2,3.2
2015-16,20154 (Autumn 2015),ACCTG 411 A,AUDIT STANDRDS PRIN,"PHILLIPS, THOMAS",55,3,20,21,9,1,,,,,,,,1,3.3
2015-16,20154 (Autumn 2015),ACCTG 440 A,ACC & FIN MGT DEC,"CHEN, CIAO-WEI",35,6,9,10,8,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 485 A,ADV FIN ACCTG,"REICH, JANE M",17,1,7,2,3,3,,1,,,,,,,3.2
2015-16,20154 (Autumn 2015),ACCTG 500 C,FINANCIAL ACCTG,"GE, WEILI",66,10,19,21,14,2,,,,,,,,,3.4
2015-16,20154 (Autumn 2015),ACCTG 506 A,INTEN ACCT PRIN 1,"SHORES, D.",50,3,16,15,7,5,,,,,,,,4,3.3
2015-16,20154 (Autumn 2015),ACCTG 521 A,CASES INFO QUALITY,"PALMROSE, ZOE-VONNA",50,6,27,16,1,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ACCTG 523 A,ADV FIN ANALYSIS,"PALMROSE, ZOE-VONNA",50,5,29,15,1,,,,,,,,,,3.5
